Locality / Area,Average Price Range (per sq. ft.),Primary Property Types,Flats,Plots,Houses/Villas,Commercial,Nearest Hospital Distance,Nearest School Distance,Lake Distance (Approx.),Luxury Apartments?,Dist. to MP Nagar/DB Mall,Dist. to AIIMS,Dist. to Airport,Dist. to Bhopal Jn. Rly Station
Patel Nagar,"₹3,500 – ₹5,500","Independent Houses, Plots",FALSE,TRUE,TRUE,FALSE,1.3 km,0.6 km,8.0 km (Lower Lake),FALSE,9.5 km,11.5 km,21.5 km,10.5 km
Sonagiri,"₹4,000 – ₹6,000","Residential Flats, Houses",TRUE,FALSE,TRUE,FALSE,1.5 km,0.7 km,6.0 km (Lower Lake),FALSE,6.8 km,9.5 km,18.5 km,7.5 km
Piplani,"₹3,500 – ₹5,500","Residential Flats, Houses",TRUE,FALSE,TRUE,FALSE,1.4 km,1.2 km,5.8 km (Lower Lake),FALSE,5.8 km,8.5 km,18.0 km,7.0 km
Misrod,"₹3,000 – ₹5,000","Independent Houses, Plots",FALSE,TRUE,TRUE,FALSE,1.6 km,1.2 km,5.2 km (Shahpura),FALSE,9.5 km,6.8 km,24.5 km,14.5 km
Khajuri Kalan,"₹2,500 – ₹4,000","Plots, Affordable Houses",FALSE,TRUE,TRUE,FALSE,1.9 km,1.4 km,8.5 km (Lower Lake),FALSE,10.5 km,13.0 km,21.5 km,11.5 km
Salaiya,"₹3,500 – ₹5,500","Duplexes, Apartments",TRUE,FALSE,TRUE,FALSE,1.8 km,2.2 km,3.5 km (Kaliasot Dam),FALSE,8.2 km,7.0 km,23.5 km,13.2 km
Nayapura,"₹3,000 – ₹4,500",Independent Houses,FALSE,TRUE,TRUE,FALSE,2.4 km,2.1 km,3.8 km (Kaliasot Dam),FALSE,8.0 km,6.8 km,23.0 km,13.0 km
Jatkhedi,"₹3,500 – ₹5,500","Apartments, Plots",TRUE,TRUE,FALSE,FALSE,1.2 km,0.8 km,4.8 km (Shahpura),FALSE,8.5 km,5.8 km,23.5 km,13.5 km
Danish Nagar,"₹5,000 – ₹7,500","Premium Duplexes, Villas",FALSE,TRUE,TRUE,FALSE,1.8 km,1.2 km,3.2 km (Shahpura),TRUE,7.5 km,5.2 km,22.5 km,12.5 km
Mahabadia,"₹2,500 – ₹4,000","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,3.2 km,2.8 km,5.0 km (Kaliasot Dam),FALSE,10.5 km,9.2 km,24.5 km,15.5 km
Borda,"₹2,000 – ₹3,500","Plots, Agricultural Land",FALSE,TRUE,FALSE,FALSE,5.5 km,4.2 km,4.0 km (Kerwa Dam),FALSE,13.5 km,12.0 km,24.0 km,16.5 km
Ratibad,"₹2,500 – ₹4,500","Farmhouses, Plots",FALSE,TRUE,TRUE,FALSE,0.5 km,1.1 km,2.5 km (Kerwa Dam),FALSE,14.0 km,13.5 km,21.0 km,15.0 km
Neelbad,"₹2,500 – ₹4,500","Farmhouses, Plots",FALSE,TRUE,TRUE,FALSE,0.8 km,2.0 km,3.0 km (Kaliasot Dam),FALSE,11.5 km,11.0 km,20.5 km,13.0 km
Bairagarh Chichali,"₹3,000 – ₹4,500",Independent Houses,FALSE,TRUE,TRUE,FALSE,1.9 km,1.5 km,2.8 km (Kaliasot Dam),FALSE,9.8 km,8.5 km,23.5 km,14.5 km
Khejrabari,"₹2,500 – ₹4,000",Plots,FALSE,TRUE,FALSE,FALSE,4.8 km,3.2 km,3.5 km (Kerwa Dam),FALSE,11.5 km,10.0 km,21.5 km,14.0 km
Chhawani,"₹3,000 – ₹5,000","Independent Houses, Commercial",FALSE,TRUE,TRUE,TRUE,2.8 km,2.1 km,7.5 km (Upper Lake),FALSE,10.0 km,13.0 km,13.5 km,6.5 km
Semra,"₹2,500 – ₹4,000",Independent Houses,FALSE,TRUE,TRUE,FALSE,1.9 km,1.5 km,6.5 km (Upper Lake),FALSE,8.2 km,11.2 km,14.2 km,4.5 km
Bhanpur,"₹2,500 – ₹4,000","Affordable Housing, Plots",FALSE,TRUE,TRUE,FALSE,1.2 km,1.0 km,6.0 km (Upper Lake),FALSE,8.5 km,11.5 km,13.5 km,4.0 km
Chhola,"₹2,500 – ₹4,000",Independent Houses,FALSE,TRUE,TRUE,FALSE,3.2 km,2.1 km,4.5 km (Upper Lake),FALSE,7.5 km,10.5 km,12.5 km,3.0 km
Nishatpura,"₹2,500 – ₹4,000",Independent Houses,FALSE,TRUE,TRUE,FALSE,1.1 km,0.8 km,5.2 km (Upper Lake),FALSE,7.2 km,10.2 km,11.5 km,2.5 km
Karond Chauraha,"₹3,000 – ₹5,000","Commercial, Houses",FALSE,TRUE,TRUE,TRUE,0.5 km,1.8 km,5.8 km (Upper Lake),FALSE,9.5 km,12.5 km,11.0 km,4.5 km
Narela Shankari,"₹2,500 – ₹4,000","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,2.2 km,1.8 km,7.8 km (Lower Lake),FALSE,9.5 km,11.5 km,19.5 km,10.0 km
Hataikheda,"₹2,500 – ₹4,000","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,2.5 km,2.1 km,0.8 km (Hataikheda Lake),FALSE,10.0 km,12.0 km,20.5 km,10.5 km
Ayodhya Nagar,"₹3,000 – ₹4,500","Independent Houses, Plots",FALSE,TRUE,TRUE,FALSE,1.1 km,1.4 km,7.2 km (Lower Lake),FALSE,8.2 km,11.0 km,17.5 km,8.5 km
Ratanpur,"₹2,000 – ₹3,500","Plots, Agricultural Land",FALSE,TRUE,FALSE,FALSE,2.8 km,2.5 km,5.0 km (Kaliasot Dam),FALSE,11.5 km,10.2 km,25.5 km,16.5 km
Bilkhiriya,"₹1,500 – ₹3,000","Plots, Farmhouses",FALSE,TRUE,FALSE,FALSE,1.0 km,3.2 km,12.0 km (Lower Lake),FALSE,14.5 km,16.5 km,24.5 km,15.0 km
Sukhi Sewaniya,"₹1,500 – ₹3,000","Agricultural Land, Plots",FALSE,TRUE,FALSE,FALSE,6.5 km,4.8 km,14.0 km (Upper Lake),FALSE,15.5 km,18.5 km,16.5 km,11.5 km
Parwalia,"₹1,500 – ₹3,000","Plots, Agricultural Land",FALSE,TRUE,FALSE,FALSE,8.5 km,6.2 km,9.0 km (Upper Lake),FALSE,18.5 km,21.5 km,6.5 km,13.5 km
Fanda,"₹1,500 – ₹3,000","Plots, Agricultural Land",FALSE,TRUE,FALSE,FALSE,9.2 km,1.5 km,10.5 km (Upper Lake),FALSE,22.5 km,25.5 km,11.5 km,17.5 km
Intkhedi,"₹1,500 – ₹3,000","Plots, Agricultural Land",FALSE,TRUE,FALSE,FALSE,11.0 km,2.0 km,12.0 km (Upper Lake),FALSE,23.0 km,26.0 km,16.0 km,18.0 km
Eitkhedi,"₹2,000 – ₹3,500","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,5.2 km,4.5 km,8.5 km (Upper Lake),FALSE,14.5 km,17.5 km,13.5 km,9.5 km
Gunga,"₹1,500 – ₹2,500",Agricultural Land,FALSE,TRUE,FALSE,FALSE,12.0 km,1.0 km,22.0 km (Upper Lake),FALSE,32.0 km,35.0 km,28.0 km,27.0 km
Berasia Road,"₹2,000 – ₹4,000","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,4.0 km,3.2 km,9.0 km (Upper Lake),FALSE,13.5 km,16.5 km,15.5 km,8.5 km
Mubarakpur,"₹2,000 – ₹3,500","Plots, Affordable Housing",FALSE,TRUE,TRUE,FALSE,4.8 km,3.5 km,5.5 km (Upper Lake),FALSE,14.5 km,17.5 km,7.5 km,9.5 km
Gandhinagar,"₹3,000 – ₹5,000","Independent Houses, Commercial",TRUE,TRUE,TRUE,TRUE,0.9 km,1.2 km,3.5 km (Upper Lake),FALSE,12.5 km,15.5 km,1.5 km,8.5 km
Laukhedi,"₹2,500 – ₹4,000","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,2.8 km,2.2 km,1.8 km (Upper Lake),FALSE,11.5 km,14.5 km,2.5 km,7.5 km
Karond Bypass,"₹3,000 – ₹4,500","Commercial, Houses",FALSE,TRUE,TRUE,TRUE,2.2 km,3.1 km,6.8 km (Upper Lake),FALSE,10.5 km,13.5 km,11.5 km,5.5 km
Bhanpur Bypass,"₹2,500 – ₹4,000","Plots, Commercial",FALSE,TRUE,FALSE,TRUE,1.8 km,2.2 km,6.8 km (Upper Lake),FALSE,10.2 km,13.2 km,13.2 km,5.2 km
Narela,"₹2,500 – ₹4,000","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,2.8 km,2.4 km,8.2 km (Lower Lake),FALSE,10.0 km,12.0 km,20.0 km,10.5 km
Semra Kalan,"₹2,500 – ₹4,000",Independent Houses,FALSE,TRUE,TRUE,FALSE,2.2 km,1.8 km,6.8 km (Upper Lake),FALSE,8.5 km,11.5 km,14.5 km,4.8 km
Chhola Road,"₹3,000 – ₹5,000","Commercial, Houses",FALSE,TRUE,TRUE,TRUE,2.8 km,1.5 km,4.0 km (Upper Lake),FALSE,7.2 km,10.2 km,12.2 km,2.8 km
Khejra,"₹2,500 – ₹4,000","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,3.2 km,2.8 km,7.5 km (Upper Lake),FALSE,9.8 km,12.8 km,15.2 km,6.2 km
Bairagarh Kalan,"₹2,500 – ₹4,000","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,1.8 km,2.5 km,1.5 km (Upper Lake),FALSE,11.8 km,14.8 km,4.2 km,7.2 km
Khajuri Sadak,"₹2,000 – ₹3,500","Plots, Affordable Housing",FALSE,TRUE,TRUE,FALSE,7.5 km,1.0 km,8.0 km (Upper Lake),FALSE,20.5 km,23.5 km,9.5 km,15.5 km
Barkheda Pathani,"₹3,000 – ₹5,000","Independent Houses, Plots",FALSE,TRUE,TRUE,FALSE,2.8 km,2.2 km,5.5 km (Lower Lake),FALSE,7.5 km,5.5 km,21.5 km,11.0 km
Awadhpuri Ext.,"₹3,000 – ₹4,500","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,2.2 km,3.0 km,7.2 km (Lower Lake),FALSE,8.5 km,10.0 km,23.0 km,12.0 km
Kokta,"₹2,500 – ₹4,000","Transport Hub, Commercial, Plots",FALSE,TRUE,FALSE,TRUE,4.8 km,4.2 km,3.5 km (Hataikheda Lake),FALSE,12.0 km,14.0 km,21.5 km,12.5 km
Hataikheda Ext.,"₹2,000 – ₹3,500",Plots,FALSE,TRUE,FALSE,FALSE,3.2 km,2.8 km,1.2 km (Hataikheda Lake),FALSE,10.8 km,12.8 km,21.0 km,11.3 km
Patel Nagar Ext.,"₹3,000 – ₹4,500","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,2.1 km,1.4 km,8.8 km (Lower Lake),FALSE,10.2 km,12.2 km,22.2 km,11.2 km
Sonagiri Ext.,"₹3,500 – ₹5,000",Independent Houses,FALSE,TRUE,TRUE,FALSE,2.2 km,1.5 km,6.5 km (Lower Lake),FALSE,7.5 km,10.2 km,19.2 km,8.2 km
Jatkhedi Ext.,"₹3,000 – ₹4,500","Plots, Apartments",TRUE,TRUE,FALSE,FALSE,2.0 km,1.6 km,5.5 km (Shahpura),FALSE,9.2 km,6.5 km,24.2 km,14.2 km
Misrod Ext.,"₹2,500 – ₹4,000","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,2.5 km,2.1 km,6.0 km (Shahpura),FALSE,10.2 km,7.5 km,25.2 km,15.2 km
Salaiya Ext.,"₹3,000 – ₹4,500","Plots, Duplexes",FALSE,TRUE,TRUE,FALSE,2.8 km,3.2 km,4.2 km (Kaliasot Dam),FALSE,9.0 km,7.8 km,24.3 km,14.0 km
Ruchi Khand,"₹3,500 – ₹5,000",Independent Houses,FALSE,TRUE,TRUE,FALSE,3.2 km,2.8 km,4.5 km (Shahpura),FALSE,10.0 km,7.5 km,24.0 km,14.0 km
Mandideep Road,"₹2,000 – ₹4,000","Industrial, Plots",FALSE,TRUE,FALSE,FALSE,1.5 km,5.5 km,11.0 km (Shahpura),FALSE,14.5 km,12.5 km,28.5 km,19.5 km
Rohit Nagar,"₹4,000 – ₹6,500","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,0.8 km,0.5 km,2.2 km (Shahpura),TRUE,5.5 km,4.2 km,20.5 km,10.5 km
Indrapuri Ext.,"₹5,000 – ₹7,500","Plots, Residential Flats",TRUE,TRUE,FALSE,FALSE,1.5 km,2.1 km,5.2 km (Lower Lake),FALSE,4.8 km,7.2 km,17.2 km,6.8 km
Ashoka Garden,"₹4,000 – ₹6,000","Independent Houses, Plots",FALSE,TRUE,TRUE,FALSE,0.9 km,1.2 km,3.8 km (Lower Lake),FALSE,3.5 km,6.5 km,15.5 km,3.5 km
Kasturba Nagar,"₹5,500 – ₹8,000","Flats, Independent Houses",TRUE,FALSE,TRUE,FALSE,2.2 km,1.4 km,3.0 km (Lower Lake),FALSE,2.8 km,4.2 km,17.5 km,6.5 km
Gautam Nagar,"₹4,500 – ₹7,000","Independent Houses, Plots",FALSE,TRUE,TRUE,FALSE,1.4 km,1.8 km,3.2 km (Lower Lake),FALSE,3.2 km,6.0 km,15.0 km,3.2 km
Rachna Nagar,"₹5,000 – ₹7,500","Flats, Plots",TRUE,TRUE,FALSE,FALSE,1.2 km,1.5 km,4.0 km (Lower Lake),FALSE,2.5 km,5.5 km,16.5 km,4.5 km
Subhash Nagar,"₹4,000 – ₹6,000","Independent Houses, Commercial",FALSE,TRUE,TRUE,TRUE,1.1 km,1.4 km,3.5 km (Lower Lake),FALSE,2.2 km,5.2 km,16.2 km,4.2 km
Minal Residency,"₹4,500 – ₹7,000","Duplexes, Plots",FALSE,TRUE,TRUE,FALSE,1.1 km,0.8 km,6.5 km (Lower Lake),FALSE,6.5 km,9.2 km,17.5 km,7.2 km
Kopal,"₹3,000 – ₹4,500","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,2.9 km,2.5 km,4.5 km (Kaliasot Dam),FALSE,11.0 km,9.8 km,24.5 km,15.8 km
Bawadiya Kalan Ext,"₹4,500 – ₹7,000","Plots, Premium Apartments",TRUE,TRUE,FALSE,FALSE,1.8 km,2.6 km,3.2 km (Shahpura),TRUE,6.8 km,5.2 km,21.8 km,11.8 km
Chuna Bhatti Ext,"₹5,000 – ₹7,500","Plots, Villas",FALSE,TRUE,TRUE,FALSE,2.2 km,2.5 km,1.8 km (Shahpura),TRUE,6.2 km,5.8 km,19.2 km,11.2 km
Shahjahanabad,"₹3,500 – ₹5,500","Older Blocks, Plots",FALSE,TRUE,FALSE,FALSE,1.4 km,1.8 km,1.5 km (Upper Lake),FALSE,6.5 km,9.5 km,10.5 km,3.0 km
Karond Ext.,"₹3,000 – ₹4,500","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,2.1 km,3.2 km,6.8 km (Upper Lake),FALSE,10.8 km,14.2 km,12.2 km,5.8 km
Karond Ind. Area,"₹2,500 – ₹4,000","Commercial, Industrial",FALSE,FALSE,FALSE,TRUE,2.5 km,3.5 km,7.2 km (Upper Lake),FALSE,11.2 km,14.5 km,12.5 km,6.2 km
Karond Village,"₹2,000 – ₹3,500","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,2.8 km,3.8 km,7.5 km (Upper Lake),FALSE,11.5 km,14.8 km,12.8 km,6.5 km
Kolar Extension,"₹3,000 – ₹4,500","Plots, Duplexes",FALSE,TRUE,TRUE,FALSE,2.2 km,2.7 km,3.0 km (Kaliasot Dam),FALSE,9.2 km,8.2 km,23.2 km,14.2 km
Bairagarh Ext.,"₹3,500 – ₹5,000","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,1.5 km,2.1 km,3.2 km (Upper Lake),FALSE,15.2 km,18.2 km,5.2 km,10.2 km
Hoshangabad Rd Ext,"₹3,500 – ₹5,500","Plots, Commercial",FALSE,TRUE,FALSE,TRUE,3.2 km,2.9 km,5.2 km (Shahpura),FALSE,8.2 km,5.8 km,23.2 km,13.2 km
Raisen Road Ext.,"₹2,500 – ₹4,000","Plots, Affordable Housing",FALSE,TRUE,FALSE,FALSE,2.8 km,3.3 km,9.0 km (Lower Lake),FALSE,11.2 km,13.2 km,22.2 km,11.8 km
Ayodhya Bypass Ext,"₹3,000 – ₹4,500","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,2.2 km,2.8 km,8.0 km (Lower Lake),FALSE,8.2 km,11.2 km,17.2 km,8.2 km
Awadhpuri Phase 2,"₹3,000 – ₹4,500","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,2.1 km,3.0 km,7.2 km (Lower Lake),FALSE,9.0 km,10.5 km,23.5 km,12.5 km
Katara Hills Ext.,"₹3,000 – ₹4,500","Plots, Duplexes",FALSE,TRUE,TRUE,FALSE,1.9 km,2.3 km,5.5 km (Kaliasot Dam),FALSE,11.8 km,8.2 km,26.8 km,16.8 km
Bagmugaliya Ext.,"₹3,500 – ₹5,000","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,2.9 km,2.2 km,4.6 km (Shahpura),FALSE,8.0 km,3.6 km,23.2 km,13.2 km
Salaiya Phase 2,"₹3,500 – ₹5,000","Plots, Duplexes",FALSE,TRUE,TRUE,FALSE,2.5 km,2.9 km,4.2 km (Kaliasot Dam),FALSE,9.0 km,7.8 km,24.3 km,14.0 km
Adampur Chhawani,"₹1,500 – ₹3,000","Plots, Agricultural Land",FALSE,TRUE,FALSE,FALSE,4.8 km,3.5 km,11.5 km (Lower Lake),FALSE,11.5 km,12.8 km,25.5 km,15.5 km
Barkhedi,"₹3,000 – ₹5,000","Independent Houses, Commercial",FALSE,TRUE,TRUE,TRUE,1.8 km,2.1 km,2.5 km (Lower Lake),FALSE,3.0 km,5.5 km,16.5 km,4.5 km
Damkheda,"₹2,000 – ₹3,500","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,2.8 km,3.2 km,3.5 km (Kaliasot Dam),FALSE,9.2 km,8.0 km,23.2 km,14.2 km
Hinotia,"₹2,500 – ₹4,000","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,3.2 km,2.8 km,6.5 km (Lower Lake),FALSE,7.5 km,8.0 km,20.5 km,8.5 km
Ibrahimpura,"₹4,000 – ₹6,000","Commercial, Older Residential",FALSE,FALSE,FALSE,TRUE,1.2 km,0.9 km,0.6 km (Lower Lake),FALSE,5.5 km,8.5 km,11.5 km,2.2 km
Jagdishpur,"₹1,500 – ₹2,500","Agricultural Land, Plots",FALSE,TRUE,FALSE,FALSE,8.5 km,7.2 km,12.0 km (Upper Lake),FALSE,14.5 km,17.5 km,11.5 km,10.5 km
Kolukhedi,"₹1,500 – ₹3,000","Plots, Agricultural Land",FALSE,TRUE,FALSE,FALSE,7.2 km,5.8 km,8.0 km (Upper Lake),FALSE,17.5 km,20.5 km,5.5 km,12.5 km
Maholi,"₹1,500 – ₹2,500","Plots, Agricultural Land",FALSE,TRUE,FALSE,FALSE,8.0 km,6.5 km,9.0 km (Upper Lake),FALSE,18.5 km,21.5 km,6.2 km,13.5 km
Mendori,"₹2,000 – ₹3,500","Plots, Farmhouses",FALSE,TRUE,FALSE,FALSE,3.8 km,2.5 km,2.0 km (Kerwa Dam),FALSE,13.5 km,12.2 km,22.5 km,14.8 km
Mendora,"₹2,000 – ₹3,500","Plots, Farmhouses",FALSE,TRUE,FALSE,FALSE,3.5 km,2.2 km,1.8 km (Kerwa Dam),FALSE,13.2 km,11.9 km,22.2 km,14.5 km
Mugaliya Chhap,"₹1,500 – ₹2,500","Agricultural Land, Plots",FALSE,TRUE,FALSE,FALSE,10.5 km,1.2 km,11.5 km (Upper Lake),FALSE,22.5 km,25.5 km,11.5 km,17.5 km
Mugaliya Kot,"₹1,500 – ₹2,500","Agricultural Land, Plots",FALSE,TRUE,FALSE,FALSE,11.0 km,1.5 km,12.0 km (Upper Lake),FALSE,23.0 km,26.0 km,12.0 km,18.0 km
Nabibagh,"₹2,500 – ₹4,000","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,2.9 km,3.8 km,7.5 km (Upper Lake),FALSE,10.5 km,13.5 km,12.5 km,6.2 km
Pipalner,"₹2,000 – ₹3,500","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,3.5 km,2.8 km,3.0 km (Upper Lake),FALSE,13.2 km,16.2 km,4.2 km,9.2 km
Prempura,"₹2,500 – ₹4,000","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,3.8 km,2.5 km,0.8 km (Upper Lake),FALSE,6.5 km,8.2 km,14.5 km,6.2 km
Samardha,"₹2,000 – ₹3,500","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,4.5 km,4.2 km,6.5 km (Shahpura),FALSE,12.5 km,10.0 km,27.5 km,17.5 km
Sankhedi,"₹2,500 – ₹4,000","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,1.8 km,2.2 km,2.2 km (Kaliasot Dam),FALSE,8.2 km,7.0 km,22.2 km,13.2 km
Sikandrabad,"₹2,000 – ₹3,500","Plots, Agricultural Land",FALSE,TRUE,FALSE,FALSE,9.5 km,8.0 km,10.0 km (Upper Lake),FALSE,21.5 km,24.5 km,10.5 km,16.5 km
Taraisevania,"₹1,500 – ₹2,500","Agricultural Land, Plots",FALSE,TRUE,FALSE,FALSE,12.5 km,1.0 km,13.5 km (Upper Lake),FALSE,24.5 km,27.5 km,14.5 km,19.5 km
